measure_start,beat_start,measure_end,beat_end,motive,instruments
91,1.0,91,1.25,M3,Solo Vc.
91,1.25,91,1.5,M3,Solo Vc.
91,2.0,91,2.5,M3,Solo Vc.
91,2.0,92,0.0,M1,"Vla., Vc., Cb."
91,2.5,91,2.75,M3,Solo Vc.
91,2.75,91,3.0,M3,Solo Vc.
91,3.0,91,3.25,M3,Solo Vc.
91,3.25,91,3.5,M3,Solo Vc.
92,0.0,92,2.0,M1,Cb.
92,0.5,92,1.0,M3,Solo Vc.
92,1.0,92,1.25,M3,Solo Vc.
92,1.25,92,1.5,M3,Solo Vc.
92,2.0,92,2.5,M3,Solo Vc.
92,2.0,93,0.0,M1,Cb.
92,2.5,92,3.0,M3,Solo Vc.
92,2.5,93,3.0,M4,Solo Vln
93,0.0,93,0.5,M3,Solo Vc.
93,0.5,93,0.75,M3,Solo Vc.
93,0.75,93,1.0,M3,Solo Vc.
93,1.0,93,1.25,M3,Solo Vc.
93,1.25,93,1.5,M3,Solo Vc.
93,1.5,93,1.75,M3,Solo Vc.
93,1.75,93,2.0,M3,Solo Vc.
93,2.5,95,2.0,M5,"Tpt. 1, Tpt. 2"
93,3.25,95,0.0,M4,Solo Vln
95,0.0,95,2.0,M1,"Vc., Cb."
95,2.0,96,0.0,M1,"Vc., Cb."
95,2.0,97,2.0,M5,"Ob., Cl. 1"
95,2.5,100,0.0,M4,"Sop Sax, Solo Vln, Solo Vc."
96,0.0,96,2.0,M1,"Vc., Cb."
96,2.0,97,0.0,M1,"Vc., Cb."
97,0.0,97,2.0,M1,"Vc., Cb."
97,2.0,98,0.0,M1,"Vc., Cb."
98,0.0,98,2.0,M1,"Vc., Cb."
98,2.0,99,0.0,M1,"Vc., Cb."
99,0.0,99,2.0,M1,"Vc., Cb."
99,2.0,100,0.0,M1,"Vc., Cb."
100,0.0,100,2.0,M1,"Vc., Cb."
100,2.0,101,0.0,M1,"Vc., Cb."
101,0.0,101,2.0,M1,"Vla., Cb."
101,2.0,102,0.0,M1,"Vla., Cb."
101,2.5,101,2.75,M3,Solo Vc.
101,2.75,101,3.0,M3,Solo Vc.
101,3.0,101,3.25,M3,Solo Vc.
101,3.25,101,3.5,M3,Solo Vc.
102,0.0,102,2.0,M1,Cb.
102,0.5,102,0.75,M3,Solo Vc.
102,0.75,102,1.0,M3,Solo Vc.
102,1.0,102,1.25,M3,Solo Vc.
102,1.5,102,1.75,M3,Solo Vc.
102,2.0,102,2.5,M3,Solo Vc.
102,2.0,103,0.0,M1,Cb.
102,3.0,102,3.5,M3,Solo Vc.
103,0.0,103,2.0,M1,Cb.
103,0.5,103,0.75,M3,Solo Vc.
103,2.0,103,2.5,M3,Solo Vc.
103,2.0,104,0.0,M1,Cb.
104,0.0,104,0.25,M3,Solo Vc.
104,0.0,104,2.0,M1,Cb.
